iter	Passed	Remaining
933	9083	641
934	9090	631
935	9097	622
936	9104	612
937	9111	602
938	9119	592
939	9126	582
940	9133	572
941	9140	562
942	9147	552
943	9156	543
944	9164	533
945	9172	523
946	9182	513
947	9190	504
948	9198	494
949	9208	484
950	9216	474
951	9225	465
952	9234	455
953	9242	445
954	9251	435
955	9260	426
956	9269	416
957	9278	406
958	9286	397
959	9294	387
960	9302	377
961	9309	367
962	9318	358
963	9327	348
964	9333	338
965	9340	328
966	9347	319
967	9354	309
968	9360	299
969	9366	289
970	9372	279
971	9380	270
972	9386	260
973	9394	250
974	9401	241
975	9408	231
976	9415	221
977	9422	211
978	9429	202
979	9436	192
980	9443	182
981	9450	173
982	9457	163
983	9466	153
984	9474	144
985	9483	134
986	9491	125
987	9499	115
988	9509	105
989	9519	96
990	9529	86
991	9539	76
992	9548	67
993	9557	57
994	9571	48
995	9581	38
996	9594	28
997	9607	19
998	9617	9
999	9626	0
